Fields group,Management of the resource,,,,,,,,,,,Description of Persons,,,,,,,,,,,,,Link(s) to related ressources,,,,,,Rights,,
,,,,,,,,,,,,,,,,,,Life Events,,,,,,,Relationships with the text,,Relationships with Person,,Authorities,,,,
Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier,Name,Langue,Type,Sex,Type of Person,Birth notBefore,Death notBefore,Birth notAfter,Death notAfter,Occupation,Floruit,Bibliography,Identifier of the text,Relationship description,Identifier of the person,Relationship description,Name of the authority,Identifier,Rights holder,Institution responsible of the distribution,Distribution rights
Description of the fields,"Identifier of the person. 
 Syntax: PSN00001",Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,Identifier of the person.,Name of the person as found in the file.,Define the language of the previous name,"Qualify the previous name, value from a closed list",Code to be defined depending our use,Type of Person. Value to be chosen from a closed list for Keyword purposes,Maximum date of birth,Maximum date of death,Minimum date of Birth,Minimum date of Death,Equivalent of <roleName>,Possibility to give information (free text) about a person's period of activity. Could be used for a biographic.,Possibility to give bibliographic information related to the person,Identifier of the text,Relationship to be defined according the Cidoc-crm: ecrm:P129i_is_subject_of,Identifier of the person connected to the person described,Relationship will be defined according RDF model. Closed list.,Name of the authority,Identifier of the person described in this authority list,Rights holder of the person (generally the ministry),"Institution responsible of the artefact, and particularly of its distribution",Distribution rights of the artefact
,PSN00001,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00001,Mahendravarman I,Sanskrit,Pallava king,,,590,630,,,,,,,,,,,,,,
,PSN00002,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00002,Mahendravarman II,Sanskrit,Pallava king,,,670,670,,,,,,,,,,,,,,
,PSN00003,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00003,Mahendravarman III,Sanskrit,Pallava king,,,700,730,,,,,,,,,,,,,,
,PSN00004,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00004,Narasiṃhavarman I,Sanskrit,Pallava king,,,630,670,,,,,,,,,,,,,,
,PSN00005,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00005,Narasiṃhavarman II,Sanskrit,Pallava king,,,690,730,,,,,,,,,,,,,,
,PSN00006,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00006,Siṃhaviṣṇu,Sanskrit,Pallava king,,,560,590,,,,,,,,,,,,,,
,PSN00007,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00007,Parameśvaravarman I,Sanskrit,Pallava king,,,660,700,,,,,,,,,,,,,,
,PSN00008,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00008,Parameśvaravarman II,Sanskrit,Pallava king,,,720,740,,,,,,,,,,,,,,
,PSN00009,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00009,Nandivarman I,Sanskrit,Pallava king,,,500,550,,,,,,,,,,,,,,
,PSN00010,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00010,Nandivarman II,Sanskrit,Pallava king,,,730,800,,,,,,,,,,,,,,
,PSN00011,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00011,Nandivarman III,Sanskrit,Pallava king,,,840,860,,,,,,,,,,,,,,
,PSN00012,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00012,Dantivarman,Sanskrit,Pallava king,,,800,850,,,,,,,,,,,,,,
,PSN00013,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00013,Nṛpatuṅgavarman,Sanskrit,Pallava king,,,860,880,,,,,,,,,,,,,,
,PSN00014,,,emfr,2021-10-28,,,,,DHARMA,CC0,PSN00014,Kampavarman,Sanskrit,Pallava king,,,860,890,,,,,,,,,,,,,,
