Fields group,Management of the resource,,,,,,,,,,,Description of Persons,,,,,,,,,,,,,Link(s) to related ressources,,,,,,Rights,,
,,,,,,,,,,,,,,,,,,Life Events,,,,,,,Relationships with the text,,Relationships with Person,,Authorities,,,,
Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier,Name,Langue,Type,Sex,Type of Person,Birth notBefore,Death notBefore,Birth notAfter,Death notAfter,Occupation,Floruit,Bibliography,Identifier of the text,Relationship description,Identifier of the person,Relationship description,Name of the authority,Identifier,Rights holder,Institution responsible of the distribution,Distribution rights
Description of the fields,"Identifier of the person. 
 Syntax: PSN00001",Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,Identifier of the person.,Name of the person as found in the file.,Define the language of the previous name,"Qualify the previous name, value from a closed list",Code to be defined depending our use,Type of Person. Value to be chosen from a closed list for Keyword purposes,Maximum date of birth,Maximum date of death,Minimum date of Birth,Minimum date of Death,Equivalent of <roleName>,Possibility to give information (free text) about a person's period of activity. Could be used for a biographic.,Possibility to give bibliographic information related to the person,Identifier of the text,Relationship to be defined according the Cidoc-crm: ecrm:P129i_is_subject_of,Identifier of the person connected to the person described,Relationship will be defined according RDF model. Closed list.,Name of the authority,Identifier of the person described in this authority list,Rights holder of the artefact (generally the ministry),"Institution responsible of the artefact, and particularly of its distribution",Distribution rights of the artefact
,PSN02000,,,,,,,,,DHARMA,CC0,PSN02000,,,,,,,,,,,,,,,,,,,,,
,PSN02001,,,,,,,,,DHARMA,CC0,PSN02001,,,,,,,,,,,,,,,,,,,,,
,PSN02002,,,,,,,,,DHARMA,CC0,PSN02002,,,,,,,,,,,,,,,,,,,,,
,PSN02003,,,,,,,,,DHARMA,CC0,PSN02003,,,,,,,,,,,,,,,,,,,,,
,PSN02004,,,,,,,,,DHARMA,CC0,PSN02004,,,,,,,,,,,,,,,,,,,,,
,PSN02005,,,,,,,,,DHARMA,CC0,PSN02005,,,,,,,,,,,,,,,,,,,,,
,PSN02006,,,,,,,,,DHARMA,CC0,PSN02006,,,,,,,,,,,,,,,,,,,,,
,PSN02007,,,,,,,,,DHARMA,CC0,PSN02007,,,,,,,,,,,,,,,,,,,,,
,PSN02008,,,,,,,,,DHARMA,CC0,PSN02008,,,,,,,,,,,,,,,,,,,,,
,PSN02009,,,,,,,,,DHARMA,CC0,PSN02009,,,,,,,,,,,,,,,,,,,,,
,PSN02010,,,,,,,,,DHARMA,CC0,PSN02010,,,,,,,,,,,,,,,,,,,,,
,PSN02011,,,,,,,,,DHARMA,CC0,PSN02011,,,,,,,,,,,,,,,,,,,,,
,PSN02012,,,,,,,,,DHARMA,CC0,PSN02012,,,,,,,,,,,,,,,,,,,,,
,PSN02013,,,,,,,,,DHARMA,CC0,PSN02013,,,,,,,,,,,,,,,,,,,,,
,PSN02014,,,,,,,,,DHARMA,CC0,PSN02014,,,,,,,,,,,,,,,,,,,,,
,PSN02015,,,,,,,,,DHARMA,CC0,PSN02015,,,,,,,,,,,,,,,,,,,,,
,PSN02016,,,,,,,,,DHARMA,CC0,PSN02016,,,,,,,,,,,,,,,,,,,,,
,PSN02017,,,,,,,,,DHARMA,CC0,PSN02017,,,,,,,,,,,,,,,,,,,,,
,PSN02018,,,,,,,,,DHARMA,CC0,PSN02018,,,,,,,,,,,,,,,,,,,,,
,PSN02019,,,,,,,,,DHARMA,CC0,PSN02019,,,,,,,,,,,,,,,,,,,,,
,PSN02020,,,,,,,,,DHARMA,CC0,PSN02020,,,,,,,,,,,,,,,,,,,,,
,PSN02021,,,,,,,,,DHARMA,CC0,PSN02021,,,,,,,,,,,,,,,,,,,,,
,PSN02022,,,,,,,,,DHARMA,CC0,PSN02022,,,,,,,,,,,,,,,,,,,,,
,PSN02023,,,,,,,,,DHARMA,CC0,PSN02023,,,,,,,,,,,,,,,,,,,,,
,PSN02024,,,,,,,,,DHARMA,CC0,PSN02024,,,,,,,,,,,,,,,,,,,,,
,PSN02025,,,,,,,,,DHARMA,CC0,PSN02025,,,,,,,,,,,,,,,,,,,,,
,PSN02026,,,,,,,,,DHARMA,CC0,PSN02026,,,,,,,,,,,,,,,,,,,,,
,PSN02027,,,,,,,,,DHARMA,CC0,PSN02027,,,,,,,,,,,,,,,,,,,,,
,PSN02028,,,,,,,,,DHARMA,CC0,PSN02028,,,,,,,,,,,,,,,,,,,,,
,PSN02029,,,,,,,,,DHARMA,CC0,PSN02029,,,,,,,,,,,,,,,,,,,,,
,PSN02030,,,,,,,,,DHARMA,CC0,PSN02030,,,,,,,,,,,,,,,,,,,,,
,PSN02031,,,,,,,,,DHARMA,CC0,PSN02031,,,,,,,,,,,,,,,,,,,,,
,PSN02032,,,,,,,,,DHARMA,CC0,PSN02032,,,,,,,,,,,,,,,,,,,,,
,PSN02033,,,,,,,,,DHARMA,CC0,PSN02033,,,,,,,,,,,,,,,,,,,,,
,PSN02034,,,,,,,,,DHARMA,CC0,PSN02034,,,,,,,,,,,,,,,,,,,,,
,PSN02035,,,,,,,,,DHARMA,CC0,PSN02035,,,,,,,,,,,,,,,,,,,,,
,PSN02036,,,,,,,,,DHARMA,CC0,PSN02036,,,,,,,,,,,,,,,,,,,,,
,PSN02037,,,,,,,,,DHARMA,CC0,PSN02037,,,,,,,,,,,,,,,,,,,,,
,PSN02038,,,,,,,,,DHARMA,CC0,PSN02038,,,,,,,,,,,,,,,,,,,,,
,PSN02039,,,,,,,,,DHARMA,CC0,PSN02039,,,,,,,,,,,,,,,,,,,,,
,PSN02040,,,,,,,,,DHARMA,CC0,PSN02040,,,,,,,,,,,,,,,,,,,,,
